Model,Launch,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,TDP (Watts)
GeForce GT 635M,4/1/12,16.2,16.2,289.2,35
GeForce GT 635M,4/1/12,16.2,16.2,388.8,35
GeForce GT 640M LE,3/22/12,3,12.2,292.6,32
GeForce GT 640M LE,3/22/12,8,16,384,20
GeForce GT 640M,3/22/12,10,20,480,32
GeForce GT 645M,10/1/12,11.36,22.72,545,32
GeForce GT 650M,3/22/12,11.9,23.8,572.2,45
GeForce GT 650M,3/22/12,13.4,26.7,641.3,45
GeForce GT 650M,3/22/12,14.4,28.8,691.2,45
GeForce GTX 660M,3/22/12,15.2,30.4,729.6,50
GeForce GTX 670M,4/1/12,14.35,33.5,833,75
GeForce GTX 670MX,10/1/12,14.4,48,1181,75
GeForce GTX 675M,4/1/12,19.8,39.7,972,100
GeForce GTX 675MX,10/1/12,19.2,48,1281,100
GeForce GTX 680M,6/4/12,23,80.6,1933,100
GeForce GTX 680MX,10/23/12,23,92.2,2209,122
GeForce 710M,1/1/13,3.2,12.8,307.2,12
GeForce 710M,7/24/13,5.752,11.5,276.1,15
GeForce GT 720M,12/25/13,3.032,12.13,291,22
GeForce GT 730M,1/1/13,5.8,23,552.2,33
GeForce GT 740M,4/1/13,12.96,25.92,622.1,45
GeForce GT 745M,4/1/13,13.4,26.8,642.8,45
GeForce GT 750M,4/1/13,15.5,30.9,742.7,50
GeForce GTX 760M,5/1/13,10.5,42.1,1104,55
GeForce GTX 765M,5/1/13,13.6,54.4,1326,65
GeForce GTX 770M,5/1/13,19.5,64.9,1530,75
GeForce GTX 780M,5/1/13,26.3,105.3,2448,122
GeForce 810M,2/1/14,3.25,6.5,156.1,15
GeForce 820M,2/1/14,3.35,13.4,321.2,15
GeForce 825M,1/27/14,6.8,13.6,652.8,33
GeForce 830M,3/12/14,8.2,16.5,526.8,25
GeForce 840M,3/12/14,8.2,24.7,790.3,30
GeForce GTX 850M,3/12/14,14,35,1121.3,40
GeForce GTX 850M,3/12/14,15,37.4,1198.1,40
GeForce GTX 860M,3/12/14,16.5,41.2,1389,42.5
GeForce GTX 860M,3/12/14,12.8,76.5,2108,75
GeForce GTX 870M,3/12/14,22.6,105.4,2599,110
GeForce GTX 880M,3/12/14,30.5,122.1,3104,130
GeForce 910M,3/13/15,5.128,20.51,492.3,33
GeForce 920M,3/12/15,7.6,30.5,733,33
GeForce 930M,3/12/15,7.4,22.3,713,29
GeForce 940M,3/12/15,8.6,25.7,823,36
GeForce 940MX,1/1/16,9.9,29.8,954,23
GeForce 940MX,6/28/16,6.9,27.6,882,23
GeForce GTX 950M,3/12/15,14.6,36.6,1170,55
GeForce GTX 960M,3/12/15,17.5,43.8,1403,65
GeForce GTX 965M,1/5/15,30.2,60.4,1933,60
GeForce GTX 970M,10/7/14,44.4,73.9,2365,75
GeForce GTX 980M,10/7/14,66.4,99.6,3189,100
GeForce GTX 980,9/22/15,68.1,136.2,4358,165
GeForce GTX 1650 (Laptop),4/23/19,49.92,99.84,3195,50
GeForce GTX 1650 Max-Q,4/23/19,39.84,79.68,2550,30
GeForce GTX 1650 Ti Max-Q,4/2/20,38.4,76.8,2458,35
GeForce GTX 1650 Ti,4/2/20,47.52,95.04,3041,55
GeForce GTX 1660 Ti Max-Q,4/23/19,64.08,128.2,4101,60
GeForce GTX 1660 Ti (Laptop),4/23/19,76.32,152.6,4884,80
GeForce RTX 2060,1/29/19,57.6,144,4608,80
GeForce RTX 2060 Max-Q,1/29/19,56.88,142.2,4550,65
GeForce RTX 2070,1/29/19,92.16,207.4,6636,115
GeForce RTX 2070 Max-Q,1/29/19,75.84,170.6,5460,80
GeForce RTX 2070 Super,4/2/20,88.3,220.8,7066,115
GeForce RTX 2070 Super Max-Q,4/2/20,69.1,172.8,5530,80
GeForce RTX 2080,1/29/19,101.8,292.6,9362,150
GeForce RTX 2080 Max-Q,1/29/19,70.08,201.5,6447,80
GeForce RTX 2080 Super,4/2/20,99.8,299.5,9585,150
GeForce RTX 2080 Super Max-Q,4/2/20,69.1,207.4,6636,80
GeForce MX110(Maxwell),11/17/17,7.944,15.89,508.4,30
GeForce MX130(Maxwell),11/17/17,9.936,29.81,861.7,30
GeForce MX130(Maxwell),11/17/17,9.936,29.81,953.9,30
GeForce MX150(Pascal),5/17/17,14.99,22.49,719.6,10
GeForce MX150(Pascal),5/17/17,14.99,22.49,797.2,10
GeForce MX150(Pascal),5/17/17,23.49,35.23,1127,25
GeForce MX150(Pascal),5/17/17,23.49,35.23,1177,25
GeForce MX230(Pascal),2/20/19,25.31,25.31,810,10
GeForce MX250(Pascal),2/20/19,16.61,24.91,797.2,10
GeForce MX250(Pascal),2/20/19,24.3,36.4,1166,25
GeForce MX330(Pascal),2/12/20,25.5,38.26,1224,20
GeForce MX350(Pascal),2/12/20,23.49,46.98,1879,20
GeForce MX450(Turing),8/1/20,23.04,40.32,1290,20
GeForce MX450(Turing),8/1/20,50.4,88.2,2822,20
GeForce MX450(Turing),8/1/20,23.04,40.32,1290,20
GeForce MX450(Turing),8/1/20,50.4,88.2,2822,20
GeForce MX550(Turing),3/1/22,21.12,42.24,2703,20
GeForce MX570(Ampere),3/1/22,46.2,73.92,4731,30
Quadro FX 46002,3/5/07,12,24,345,134
Quadro FX 4600 SDI2,3/5/07,12,24,345,154
Quadro FX 56002,3/5/07,14.4,38.4,518.4,171
Quadro FX 370,9/12/07,1.44,2.88,34.56,35
Quadro FX 370 LP,11/6/08,2.16,4.32,25.92,25
Quadro FX 470,9/12/07,2.32,4.64,67.2,30
Quadro FX 570,9/12/07,3.68,3.68,44.1,38
Quadro FX 1700,9/12/07,3.68,7.36,88.32,42
Quadro FX 3700,1/8/08,8,28,420,78
Quadro FX 4700X2,4/18/08,16,64,1152,226
Quadro VX 200,1/8/08,8,28,378,75
Quadro FX 380,3/30/09,3.6,3.6,52.8,34
Quadro FX 380 LP,12/1/09,2.356,4.712,67.296,28
Quadro FX 580,4/9/09,3.6,7.2,108,40
Quadro FX 1800,3/30/09,6.6,17.6,264,59
Quadro FX 3800,3/30/09,9.632,38.528,691.2,108
Quadro FX 4800,11/11/08,14.448,38.528,693.504,150
Quadro FX 5800,11/11/08,20.736,51.84,878.4,189
Quadro CX,11/11/08,14.448,38.528,693.504,150
Quadro 400,4/5/11,1.8,7.2,108,32
Quadro 600,12/13/10,2.56,10.24,245.76,40
Quadro 2000,12/24/10,10,20,480,62
Quadro 4000,11/2/10,15.2,15.2,486.4,142
Quadro 5000,2/23/11,20.53,22.572,722.304,152
Quadro 6000,12/10/10,27.552,32.144,1028.608,204
Quadro 7000,5/2/12,31.248,41.7,1332,204
Quadro Plex 7000,7/25/11,36.74,73.48,2352,600
Quadro 410,8/7/12,5.65,11.3,271.1,38
Quadro K600,3/1/13,14,14,336.38,41
Quadro K2000,3/1/13,15.2,30.5,732.67,51
Quadro K2000D,3/1/13,15.2,30.5,732.67,51
Quadro K4000,3/1/13,19.4,51.9,1244.93,80
Quadro K5000,8/17/12,22.6,90.4,2168.83,122
Quadro K6000,7/23/13,54.1,216,5196,225
Quadro K420,7/22/14,12.48,12.48,299.52,41
Quadro K620,7/22/14,16,24,768,45
Quadro K1200,1/28/15,15.3,30.5,1083,45
Quadro K2200,7/22/14,16.7,41.8,1338.9,68
Quadro K4200,7/22/14,24.96,87.36,2096.64,105
Quadro K5200,7/22/14,20.8,124.8,2995.2,150
Quadro M2000,4/8/16,37.8,56.6,1812.5,75
Quadro M4000,6/29/15,51.2,83.2,2662.4,120
Quadro M5000,6/29/15,67.2,134.4,4300.8,150
Quadro M6000,3/21/15,94.8,189.7,6070,250
Quadro P400,2/7/17,17.1,17.1,641,30
Quadro P600,2/7/17,21.7,32.5,1195,40
Quadro P620,2/1/18,23.3,46.6,1490,40
Quadro P1000,2/7/17,43.3,54.2,1894,47
Quadro P2000,2/6/17,54.8,87.7,3010,75
Quadro P2200,6/10/19,59.7,119.4,3822,75
Quadro P4000,2/6/17,78.5,137.4,5300,105
Quadro P5000,10/1/16,102.8,257.1,8873,180
Quadro P6000,10/1/16,136,340,10882,250
Quadro P6000,10/1/16,136,340,11758,250
Quadro GP100,10/1/16,184.7,323,10336,235
Quadro GV100,3/27/18,208.4,521,14800,250
Quadro RTX 4000,11/13/18,98.9,222.5,7119,112.5
Quadro RTX 5000,8/13/18,116.2,348.5,11151,177.5
Quadro RTX 6000,8/13/18,169.9,509.8,16312,180
Quadro RTX 8000,8/13/18,169.9,509.8,16312,180
